date,time,temp,wind,humidity,barometer
18,12:00 SA,10,33,82,1004
18,12:30 SA,10,33,82,1004
18,1:00 SA,10,30,82,1004
18,1:30 SA,10,30,82,1003
18,2:00 SA,10,32,82,1003
18,2:30 SA,10,30,82,1002
18,3:00 SA,10,28,82,1002
18,3:30 SA,10,28,82,1002
18,4:00 SA,9,32,87,1001
18,4:30 SA,9,32,87,1001
18,5:00 SA,9,26,87,1001
18,5:30 SA,9,20,87,1001
18,6:00 SA,9,20,87,1000
18,6:30 SA,10,26,82,1001
18,7:00 SA,10,22,82,1001
18,7:30 SA,10,22,82,1001
18,8:00 SA,10,30,82,1001
18,8:30 SA,11,30,77,1001
18,9:00 SA,12,28,77,1001
18,9:30 SA,13,26,67,1001
18,10:00 SA,14,26,59,1000
18,10:30 SA,14,24,67,1000
18,11:00 SA,14,24,67,1000
18,11:30 SA,15,24,68,1000
18,12:00 CH,15,26,51,999
18,12:30 CH,16,32,45,999
18,1:00 CH,15,26,48,998
18,1:30 CH,16,24,45,998
18,2:00 CH,14,32,55,997
18,2:30 CH,15,30,55,997
18,3:00 CH,14,19,63,997
18,3:30 CH,14,26,63,996
18,4:00 CH,14,26,63,996
18,4:30 CH,13,22,63,996
18,5:00 CH,12,19,72,996
18,5:30 CH,12,15,72,996
18,6:00 CH,11,26,77,997
18,6:30 CH,11,26,77,997
18,7:00 CH,10,17,76,997
18,7:30 CH,10,24,76,997
18,8:00 CH,10,20,71,997
18,8:30 CH,10,20,71,997
18,9:00 CH,10,19,71,997
18,9:30 CH,9,15,76,997
18,10:00 CH,10,15,71,997
18,10:30 CH,9,17,76,996
18,11:00 CH,9,19,76,996
18,11:30 CH,9,19,82,995
19,12:00 SA,9,17,82,995
19,12:30 SA,9,17,82,995
19,1:00 SA,9,22,82,995
19,1:30 SA,9,22,87,994
19,2:00 SA,9,24,87,993
19,2:30 SA,9,24,87,993
19,3:00 SA,9,28,87,993
19,3:30 SA,9,22,87,992
19,4:00 SA,8,22,93,991
19,4:30 SA,9,28,87,990
19,5:00 SA,9,30,82,990
19,6:00 SA,9,24,76,990
19,6:30 SA,8,28,82,990
19,7:00 SA,8,24,82,990
19,7:30 SA,8,28,87,990
19,8:00 SA,8,30,82,990
19,8:30 SA,8,22,87,990
19,9:00 SA,9,15,82,990
19,9:30 SA,9,15,82,990
19,10:00 SA,10,15,76,990
19,11:00 SA,11,19,77,990
19,11:30 SA,11,13,77,990
19,12:00 CH,11,15,77,990
19,12:30 CH,11,11,82,990
19,1:00 CH,11,13,82,990
19,1:43 CH,10,17,94,990
19,2:00 CH,10,15,94,990
19,2:30 CH,11,22,82,990
19,2:40 CH,11,26,82,991
19,3:00 CH,10,15,82,991
19,3:30 CH,11,17,82,991
19,4:00 CH,11,24,82,991
19,4:30 CH,11,20,77,992
19,5:30 CH,10,20,76,993
19,6:00 CH,10,19,76,994
19,6:30 CH,10,30,76,994
19,7:00 CH,9,19,82,995
19,7:30 CH,9,24,82,995
19,8:00 CH,9,20,82,996
19,8:30 CH,9,17,82,996
19,9:00 CH,8,19,87,996
19,9:30 CH,8,19,82,996
19,10:00 CH,8,20,82,997
19,10:30 CH,8,15,82,997
19,11:00 CH,8,19,82,997
20,12:00 SA,8,17,76,997
20,12:30 SA,9,24,71,997
20,1:00 SA,9,28,76,997
20,1:30 SA,9,30,76,997
20,2:00 SA,9,26,76,997
20,2:30 SA,9,26,76,997
20,3:00 SA,9,24,76,997
20,3:30 SA,9,28,82,997
20,4:00 SA,9,28,82,998
20,5:00 SA,9,30,87,999
20,5:30 SA,9,26,87,999
20,6:00 SA,8,20,93,999
20,6:30 SA,8,24,87,1000
20,7:00 SA,8,20,82,1000
20,7:30 SA,7,17,87,1001
20,8:00 SA,8,17,82,1001
20,8:30 SA,9,19,76,1001
20,9:00 SA,10,22,76,1002
20,9:30 SA,11,26,67,1002
20,10:00 SA,12,32,63,1002
20,11:00 SA,11,20,62,1002
20,11:30 SA,11,26,62,1002
20,12:00 CH,12,32,54,1002
20,12:30 CH,14,30,48,1002
20,1:00 CH,14,30,48,1001
20,1:30 CH,14,30,48,1001
20,2:00 CH,14,28,48,1001
20,2:30 CH,14,28,44,1001
20,3:00 CH,14,30,48,1001
20,3:30 CH,15,22,48,1000
20,4:00 CH,14,26,48,1000
20,4:30 CH,14,24,51,1000
20,5:00 CH,13,24,55,1001
20,5:30 CH,12,28,63,1001
20,6:00 CH,11,20,62,1001
20,6:30 CH,11,19,62,1002
20,7:00 CH,11,19,67,1001
20,7:30 CH,11,24,62,1002
20,8:00 CH,10,19,71,1002
20,8:30 CH,10,19,71,1002
20,9:00 CH,10,19,71,1002
20,9:30 CH,10,20,71,1002
20,10:00 CH,10,17,71,1002
20,10:30 CH,10,22,67,1002
20,11:00 CH,10,19,67,1001
20,11:30 CH,10,24,67,1001
21,12:00 SA,10,20,67,1001
21,12:30 SA,10,20,71,1001
21,1:00 SA,10,20,71,1001
21,1:30 SA,9,19,76,1000
21,2:00 SA,9,20,76,1000
21,2:30 SA,9,17,76,1000
21,3:00 SA,9,19,76,1000
21,3:30 SA,8,22,87,1000
21,3:38 SA,8,28,87,1000
21,4:00 SA,8,26,87,1000
21,4:30 SA,7,39,81,1000
21,5:00 SA,7,30,81,1000
21,5:30 SA,7,24,76,1000
21,6:00 SA,7,20,76,1001
21,6:30 SA,6,17,81,1001
21,7:00 SA,6,17,81,1001
21,7:30 SA,7,20,66,1001
21,8:00 SA,8,24,62,1001
21,8:30 SA,8,19,62,1002
21,9:00 SA,9,26,58,1002
21,9:30 SA,10,28,54,1001
21,10:00 SA,10,33,54,1002
21,11:00 SA,11,28,47,1001
21,12:00 CH,12,33,47,1001
21,12:30 CH,11,32,47,1001
21,1:00 CH,12,30,41,1000
21,1:06 CH,11,32,47,1000
21,1:31 CH,13,32,47,1000
21,2:00 CH,10,35,58,1000
21,2:30 CH,9,43,62,1000
21,2:44 CH,9,37,62,1000
21,3:00 CH,10,28,58,1000
21,3:06 CH,10,28,54,1000
21,3:30 CH,10,33,54,1000
21,4:00 CH,10,35,54,1000
21,4:30 CH,9,22,66,1000
21,5:00 CH,9,13,66,1000
21,5:30 CH,6,33,93,1001
21,6:00 CH,5,9,93,1002
21,6:30 CH,6,11,93,1002
21,7:00 CH,6,13,87,1002
21,7:30 CH,6,17,81,1002
21,8:00 CH,7,15,66,1002
21,8:30 CH,7,13,66,1002
21,9:00 CH,7,19,66,1003
21,9:30 CH,6,19,76,1003
21,10:00 CH,6,13,76,1002
21,10:30 CH,5,15,81,1002
21,11:00 CH,4,17,87,1002
21,11:30 CH,5,19,81,1002
22,12:00 SA,6,17,71,1002
22,12:30 SA,6,17,71,1002
22,1:00 SA,6,15,71,1002
22,1:30 SA,6,13,71,1001
22,2:00 SA,5,17,76,1001
22,2:30 SA,5,17,76,1001
22,3:00 SA,6,17,66,1000
22,3:30 SA,6,17,71,1000
22,4:00 SA,6,22,76,999
22,4:30 SA,5,24,87,1000
22,5:00 SA,5,15,87,1000
22,5:30 SA,5,22,87,1000
22,6:00 SA,5,30,81,1000
22,6:30 SA,5,26,81,1000
22,7:00 SA,5,22,81,1001
22,7:30 SA,5,28,81,1001
22,8:00 SA,6,32,81,1001
22,8:30 SA,6,32,81,1001
22,9:00 SA,6,30,87,1002
22,9:30 SA,6,30,87,1002
22,10:00 SA,7,32,81,1002
22,11:00 SA,9,39,71,1002
22,11:30 SA,10,43,67,1002
22,12:00 CH,10,43,67,1002
22,12:36 CH,11,39,62,1002
22,1:00 CH,10,43,62,1002
22,1:30 CH,10,44,62,1002
22,1:39 CH,10,39,62,1002
22,2:00 CH,7,43,81,1002
22,2:23 CH,7,57,81,1003
22,2:30 CH,7,46,81,1003
22,3:00 CH,7,35,87,1002
22,3:30 CH,8,44,82,1002
22,4:00 CH,8,43,82,1002
22,4:17 CH,6,39,87,1003
22,4:30 CH,4,13,93,1003
22,5:00 CH,6,13,93,1004
22,5:30 CH,7,26,93,1003
22,6:00 CH,8,32,87,1004
22,6:30 CH,6,28,93,1005
22,7:00 CH,7,19,93,1006
